Question,Target Answer,Model Name,Prompt Style,Full Prompt,Answer,"Sample (n=300, model=gpt-4-0314)","Sample (n=300, model=gpt-3.5-turbo-0301)"
" For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? ",39,gpt-3.5-turbo-0301,sbs,"Q:  For Halloween Debby and her sister combined the candy they received. Debby had 32 pieces of candy while her sister had 42. If they ate 35 pieces the first night, how many pieces do they have left? 

A: Let's think step by step. Debby had 32 pieces of candy and her sister had 42, so together they had:

32 + 42 = 74 pieces of candy

If they ate 35 pieces the first night, we can subtract that from the total:

74 - 35 = 39 pieces of candy left

Therefore, Debby and her sister have 39 pieces of candy left after eating 35 pieces on the first night. Therefore, the answer (arabic numerals) is",39,False,False
 A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? ,8,gpt-3.5-turbo-0301,sbs,"Q:  A pet store had 13 siamese cats and 5 house cats. During a sale they sold 10 cats. How many cats do they have left? 

A: Let's think step by step. First, we need to find the total number of cats the pet store had before the sale:

13 siamese cats + 5 house cats = 18 cats

Next, we need to subtract the number of cats sold during the sale:

18 cats - 10 cats = 8 cats

Therefore, the pet store has 8 cats left after the sale. Therefore, the answer (arabic numerals) is",8,False,True
" Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? ",2,gpt-3.5-turbo-0301,sbs,"Q:  Luke was trying to expand his game collection. He bought 2 games from a friend and bought 2 more at a garage sale. If 2 of the games didn't work, how many good games did he end up with? 

A: Let's think step by step. 1. Luke bought 2 games from a friend.
2. Luke bought 2 more games at a garage sale.
3. 2 of the games didn't work.

So, Luke started with 4 games (2 from friend + 2 from garage sale). But 2 of them didn't work, so he ended up with 2 good games. Therefore, the answer (arabic numerals) is",2,False,True
" The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? ",40,gpt-3.5-turbo-0301,sbs,"Q:  The school cafeteria ordered 42 red apples and 7 green apples for students lunches. But, if only 9 students wanted fruit, how many extra did the cafeteria end up with? 

A: Let's think step by step. Step 1: Find the total number of apples ordered by the cafeteria.
42 red apples + 7 green apples = 49 apples

Step 2: Find the total number of apples needed for 9 students.
Assuming each student gets one apple, 9 students need 9 apples.

Step 3: Find the number of extra apples.
Total apples ordered - Apples needed = Extra apples
49 apples - 9 apples = 40 extra apples

Therefore, the cafeteria ended up with 40 extra apples. Therefore, the answer (arabic numerals) is",40,False,False
" Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? ",3,gpt-3.5-turbo-0301,sbs,"Q:  Lana picked 36 tulips and 37 roses to make flower bouquets. If she only used 70 of the flowers though, how many extra flowers did Lana pick? 

A: Let's think step by step. 1. Lana picked 36 tulips and 37 roses, so she picked a total of 36 + 37 = 73 flowers.
2. Lana only used 70 of the flowers, so she had 73 - 70 = 3 extra flowers. 

Therefore, Lana picked 3 extra flowers. Therefore, the answer (arabic numerals) is",3,False,False
" Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? ",7,gpt-3.5-turbo-0301,sbs,"Q:  Carol and her mom were picking carrots from their garden. Carol picked 29 and her mother picked 16. If only 38 of the carrots were good, how many bad carrots did they have? 

A: Let's think step by step. 1. Carol picked 29 carrots and her mother picked 16, so they picked a total of 29 + 16 = 45 carrots.
2. We know that only 38 of the carrots were good, so we can subtract 38 from 45 to find the number of bad carrots: 45 - 38 = 7.
3. Therefore, Carol and her mom had 7 bad carrots. Therefore, the answer (arabic numerals) is",7,False,True
 Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? ,19,gpt-3.5-turbo-0301,sbs,"Q:  Roger had 16 dollars. For his birthday he got 28 more dollars but spent 25 on a new game. How much money does he have now? 

A: Let's think step by step. 1. Roger had 16 dollars.
2. He got 28 more dollars for his birthday, so he now has 16 + 28 = 44 dollars.
3. He spent 25 dollars on a new game, so he now has 44 - 25 = 19 dollars.
4. Therefore, Roger has 19 dollars now. Therefore, the answer (arabic numerals) is",19,False,True
" While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? ",2,gpt-3.5-turbo-0301,sbs,"Q:  While on vacation, Megan took 15 pictures at the zoo and 18 at the museum. If she later deleted 31 of the pictures, how many pictures from her vacation did she still have? 

A: Let's think step by step. 1. Megan took 15 pictures at the zoo and 18 at the museum, so she had a total of 15 + 18 = 33 pictures.
2. She later deleted 31 of the pictures, so she was left with 33 - 31 = 2 pictures.
3. Therefore, Megan still had 2 pictures from her vacation after deleting 31 of them. Therefore, the answer (arabic numerals) is",2,False,True
 Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? ,11,gpt-3.5-turbo-0301,sbs,"Q:  Rachel bought two coloring books. One had 23 pictures and the other had 32. After one week she had already colored 44 of the pictures. How many pictures does she still have to color? 

A: Let's think step by step. 1. Rachel bought two coloring books: one with 23 pictures and the other with 32 pictures.
2. She colored 44 pictures in total after one week.
3. To find out how many pictures she still has to color, we need to subtract the number of pictures she has already colored from the total number of pictures in both books.
4. Total number of pictures in both books = 23 + 32 = 55
5. Pictures still to be colored = Total number of pictures - Pictures already colored
6. Pictures still to be colored = 55 - 44
7. Pictures still to be colored = 11

Therefore, Rachel still has 11 pictures to color. Therefore, the answer (arabic numerals) is",11,False,True
" Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? ",1,gpt-3.5-turbo-0301,sbs,"Q:  Ned had to wash 9 short sleeve shirts and 21 long sleeve shirts before school. If he had only washed 29 of them by the time school started, how many did he not wash? 

A: Let's think step by step. Step 1: Find the total number of shirts Ned had to wash.
Total number of shirts = number of short sleeve shirts + number of long sleeve shirts
Total number of shirts = 9 + 21
Total number of shirts = 30

Step 2: Find the number of shirts Ned washed before school.
Number of shirts washed = 29

Step 3: Find the number of shirts Ned did not wash.
Number of shirts not washed = Total number of shirts - Number of shirts washed
Number of shirts not washed = 30 - 29
Number of shirts not washed = 1

Therefore, Ned did not wash 1 shirt before school. Therefore, the answer (arabic numerals) is",1,False,True
" Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? ",66,gpt-3.5-turbo-0301,sbs,"Q:  Oliver had to wash 39 short sleeve shirts and 47 long sleeve shirts before school. If he had only washed 20 of them by the time school started, how many did he not wash? 

A: Let's think step by step. Oliver had to wash a total of 39 + 47 = 86 shirts.
He washed 20 of them before school started.
Therefore, he still had to wash 86 - 20 = 66 shirts. Therefore, the answer (arabic numerals) is",66,False,True
 For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? ,9,gpt-3.5-turbo-0301,sbs,"Q:  For the school bake sale Wendy made pastries. She baked 4 cupcakes and 29 cookies. After the sale she had 24 to take back home. How many pastries did she sell? 

A: Let's think step by step. 1. Wendy baked 4 cupcakes and 29 cookies, so she had a total of 4 + 29 = 33 pastries to sell.
2. After the sale, she had 24 pastries left, so she must have sold 33 - 24 = 9 pastries.
3. Therefore, Wendy sold 9 pastries at the school bake sale. Therefore, the answer (arabic numerals) is",9,False,True
" While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? ",22,gpt-3.5-turbo-0301,sbs,"Q:  While on vacation, Debby took 24 pictures at the zoo and 12 at the museum. If she later deleted 14 of the pictures, how many pictures from her vacation did she still have? 

A: Let's think step by step. Debby took 24 pictures at the zoo and 12 at the museum, so she had a total of 24 + 12 = 36 pictures.

If she deleted 14 pictures, then she had 36 - 14 = 22 pictures left. 

Therefore, Debby still had 22 pictures from her vacation. Therefore, the answer (arabic numerals) is",22,False,False
" Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? ",2,gpt-3.5-turbo-0301,sbs,"Q:  Katie picked 3 tulips and 9 roses to make flower bouquets. If she only used 10 of the flowers though, how many extra flowers did Katie pick? 

A: Let's think step by step. Katie picked 3 tulips and 9 roses, so she picked a total of 3 + 9 = 12 flowers.
However, she only used 10 of the flowers, so she had 12 - 10 = 2 extra flowers. 
Therefore, Katie picked 2 extra flowers. Therefore, the answer (arabic numerals) is",2,False,False
" Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? ",15,gpt-3.5-turbo-0301,sbs,"Q:  Faye had 46 math problems and 9 science problems for homework. If she finished 40 of the problems at school, how many problems did she have to do for homework? 

A: Let's think step by step. 1. Faye had 46 math problems and 9 science problems for homework.
2. That means she had a total of 46 + 9 = 55 problems for homework.
3. She finished 40 of the problems at school.
4. So, she still had 55 - 40 = 15 problems left to do for homework. 

Therefore, Faye had to do 15 problems for homework. Therefore, the answer (arabic numerals) is",15,False,False
" Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? ",2,gpt-3.5-turbo-0301,sbs,"Q:  Amy had 4 music files and 21 video files on her flash drive. If she deleted 23 of the files, how many files were still on her flash drive? 

A: Let's think step by step. 1. Amy had 4 music files and 21 video files on her flash drive.
2. The total number of files on her flash drive is 4 + 21 = 25.
3. Amy deleted 23 of the files.
4. The number of files left on her flash drive is 25 - 23 = 2.
5. Therefore, Amy had 2 files left on her flash drive after deleting 23 files. Therefore, the answer (arabic numerals) is",2,False,True
" Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? ",14,gpt-3.5-turbo-0301,sbs,"Q:  Ned was trying to expand his game collection. He bought 11 games from a friend and bought 22 more at a garage sale. If 19 of the games didn't work, how many good games did he end up with? 

A: Let's think step by step. 1. Ned bought 11 games from a friend.
2. Ned bought 22 more games at a garage sale.
3. In total, Ned now has 11 + 22 = 33 games.
4. However, 19 of the games didn't work.
5. To find out how many good games Ned ended up with, we need to subtract the number of games that didn't work from the total number of games: 

33 - 19 = 14

Therefore, Ned ended up with 14 good games. Therefore, the answer (arabic numerals) is",14,False,True
