Question,Target Answer,Model Name,Prompt Style,Full Prompt,Answer,"Sample (n=300, model=gpt-4-0314)","Sample (n=300, model=gpt-3.5-turbo-0301)"
Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack How much do you have to pay to buy each pack?,51.0,gpt-3.5-turbo-0301,sbs,"Q: Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack How much do you have to pay to buy each pack?

A: Let's think step by step. First, we need to calculate the price of each pack after the discount. 

Discounted price = Original price - Discount amount 

Discounted price = 76 - 25 

Discounted price = 51 

So, each pack costs 51 dollars after the discount. 

Therefore, if you want to buy one pack, you have to pay 51 dollars. Therefore, the answer (arabic numerals) is",51 dollars.,False,False
Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack How much do you have to pay to buy each pack?,51.0,gpt-4-0314,sbs,"Q: Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack How much do you have to pay to buy each pack?

A: Let's think step by step. First, we know that each pack of DVDs costs 76 dollars. Then, there is a discount of 25 dollars on each pack. To find out how much you have to pay for each pack after the discount, we can subtract the discount from the original price:

76 dollars (original price) - 25 dollars (discount) = 51 dollars

So, you have to pay 51 dollars to buy each pack after the discount. Therefore, the answer (arabic numerals) is",51,False,False
Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?,1.0,gpt-3.5-turbo-0301,sbs,"Q: Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start How much did the candy bar cost?

A: Let's think step by step. 1. Dan had $3 left after he bought a candy bar.
2. If he had $4 at the start, he spent $1 on the candy bar.
3. Therefore, the candy bar cost $1. Therefore, the answer (arabic numerals) is",$1.00 ,False,True
Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?,17.0,gpt-3.5-turbo-0301,sbs,"Q: Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies. How many salty cookies did Paco have left?

A: Let's think step by step. 1. Paco had 26 salty cookies and 17 sweet cookies.
2. He ate 14 sweet cookies and 9 salty cookies.
3. To find out how many salty cookies Paco had left, we need to subtract the number of salty cookies he ate from the total number of salty cookies he had.
4. Total number of salty cookies = 26
5. Number of salty cookies Paco ate = 9
6. Salty cookies Paco had left = 26 - 9 = 17
7. Therefore, Paco had 17 salty cookies left. Therefore, the answer (arabic numerals) is",17,False,False
43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?,22.0,gpt-3.5-turbo-0301,sbs,"Q: 43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus. How many children got off the bus at the bus stop?

A: Let's think step by step. 1. We know that there were originally 43 children on the bus.
2. After some children got off at the bus stop, there were 21 children left on the bus.
3. We need to find out how many children got off at the bus stop.
4. To do this, we can subtract the number of children left on the bus from the original number of children on the bus: 

43 - 21 = 22

Therefore, 22 children got off the bus at the bus stop. Therefore, the answer (arabic numerals) is",22,False,False
28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?,2.0,gpt-3.5-turbo-0301,sbs,"Q: 28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus. How many more children got on the bus than those that got off?

A: Let's think step by step. 1. Initially, there were 28 children on the bus.
2. At the bus stop, 82 children got on the bus, so the total number of children on the bus became 28 + 82 = 110.
3. Let's say x children got off the bus at the next stop.
4. Therefore, the number of children on the bus after some got off became 110 - x.
5. According to the problem, there were 30 children on the bus after some got off. So we can write an equation:
110 - x = 30
6. Solving for x, we get:
x = 80
7. This means 80 children got off the bus at the next stop.
8. Finally, we can calculate how many more children got on the bus than those that got off:
82 - 80 = 2
Therefore, 2 more children got on the bus than those that got off. Therefore, the answer (arabic numerals) is",2,False,False
There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?,46.0,gpt-3.5-turbo-0301,sbs,"Q: There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left. How much more money did she collect at the atm than she spent at the supermarket?

A: Let's think step by step. Olivia started with 3 dollars in her wallet. 

She collected 49 more dollars from an ATM, so she had a total of 3 + 49 = 52 dollars. 

After she visited a supermarket, she had 49 dollars left. This means she spent 52 - 49 = 3 dollars at the supermarket. 

To find out how much more money she collected at the ATM than she spent at the supermarket, we need to subtract the amount she spent at the supermarket from the amount she collected at the ATM: 

49 - 3 = 46 

Therefore, Olivia collected 46 more dollars at the ATM than she spent at the supermarket. Therefore, the answer (arabic numerals) is",46,False,False
Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now How many action figures did he have initially on the shelf?,3.0,gpt-3.5-turbo-0301,sbs,"Q: Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now How many action figures did he have initially on the shelf?

A: Let's think step by step. 1. Jerry had some action figures on a shelf in his room.
2. Later he added 7 more action figures to the shelf.
3. If there are a total of 10 action figures on his shelf now.
4. We need to find out how many action figures did he have initially on the shelf.

Let's use algebra to solve this problem.

Let x be the initial number of action figures on the shelf.

After Jerry added 7 more action figures, the total number of action figures on the shelf became x + 7.

We know that the total number of action figures on the shelf now is 10.

So we can write an equation:

x + 7 = 10

To solve for x, we can subtract 7 from both sides:

x + 7 - 7 = 10 - 7

x = 3

Therefore, Jerry had 3 action figures initially on the shelf. Therefore, the answer (arabic numerals) is",3,False,True
Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?,9.0,gpt-3.5-turbo-0301,sbs,"Q: Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies. How many more cookies did he eat than those he gave to his friend?

A: Let's think step by step. 1. Paco had 41 cookies.
2. He gave 9 cookies to his friend, so he has 41 - 9 = 32 cookies left.
3. He ate 18 cookies, so he has 32 - 18 = 14 cookies left.
4. To find out how many more cookies he ate than those he gave to his friend, we need to subtract the number of cookies he gave to his friend from the number of cookies he ate: 18 - 9 = 9.
5. Therefore, Paco ate 9 more cookies than those he gave to his friend. Therefore, the answer (arabic numerals) is",9,False,False
Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?,4.0,gpt-3.5-turbo-0301,sbs,"Q: Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour. How many more cups of flour does she need to add?

A: Let's think step by step. 1. The recipe calls for 10 cups of flour in total.
2. Mary already put in 6 cups of flour.
3. Therefore, she still needs to add 10 - 6 = 4 more cups of flour. Therefore, the answer (arabic numerals) is",4,False,False
